"region","country","index","market","year","open","high","low","close","volume","adjust","yearly_return_rate","ave_daily_return_rate","inflation_rate","average_annual_growth_rate","real_annual_average_growth_rate","real_yearly_return_rate","avg_yearly_return_rate","avg_daily_return_rate","avg_inflation_rate","avg_real_yearly_return_rate","count_countries","region_code","avg_regional_growth_rate","real_regional_growth_rate","country_code"
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2006,5618.8,6271.4,5467.4,6220.8,412923672100,6220.8,10.71,0.04,2.46,4.31,1.81,8.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2007,6220.8,6754.1,5821.7,6456.9,428195305600,6456.9,3.8,0.02,2.39,4.31,1.88,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2008,6456.9,6534.7,3665.2,4434.2,354506212400,4434.2,-31.33,-0.12,3.52,4.31,0.76,-33.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2009,4434.2,5445.2,3460.7,5412.9,290562847200,5412.9,22.07,0.09,1.96,4.31,2.3,19.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2010,5412.9,6021.5,4790,5899.9,256139976300,5899.9,9,0.04,2.49,4.31,1.77,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2012,5572.3,5997,5229.8,5897.8,202328151100,5897.8,5.84,0.03,2.57,4.31,1.69,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2013,5897.8,6875.6,5897.8,6749.1,171193550400,6749.1,14.43,0.06,2.29,4.31,1.97,11.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2014,6749.1,6904.9,6072.7,6566.1,180813898900,6566.1,-2.71,-0.01,1.45,4.31,2.82,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2015,6566.1,7122.7,5768.2,6242.3,186904681700,6242.3,-4.93,-0.01,0.37,4.31,3.93,-5.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","United Kingdom","FTSE 100","London Stock Exchange",2016,6242.3,7142.8,5499.5,7142.8,215823825900,7142.8,14.43,0.06,1.01,4.31,3.27,13.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
